interval,player_id,player_name,teams,country,matches_played,batting_innings,runs,balls_faced,fours,sixes,avg_runs_per_game,batting_strike_rate,bowling_innings,balls_bowled,overs_bowled_equivalent,maidens,runs_conceded,wickets,bowling_economy,bowling_strike_rate,batting_hand,batting_style_raw,bowling_hand,bowling_style,bowling_style_raw
1992-1995,2022,Chamara Dunusinghe,Sri Lanka,,1,1,1,1,0,0,1.0,100.0,0,0,,0,0,0,,,,,,,
1992-1995,2781,Chaminda Mendis,Sri Lanka,,1,1,3,2,0,0,3.0,150.0,0,0,,0,0,0,,,,,,,
1992-1995,2000,Chaminda Vaas,Sri Lanka,,33,16,119,167,5,0,3.61,71.26,32,1530,255.0,28,1025,37,4.02,41.35,,,,,
1992-1995,1425,Champaka Ramanayake,Sri Lanka,,37,21,134,262,10,0,3.62,51.15,36,1756,292.67,26,1250,37,4.27,47.46,,,,,
1992-1995,728,Chandika Hathurusingha,Sri Lanka,,30,28,645,1263,58,0,21.5,51.07,21,780,130.0,7,564,12,4.34,65.0,,,,,
1992-1995,1319,Chandrakant Pandit,India,,4,3,7,15,0,0,1.75,46.67,0,0,,0,0,0,,,,,,,
1992-1995,1561,Chetan Sharma,India,India,5,2,16,19,0,0,3.2,84.21,5,180,30.0,1,145,2,4.83,90.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1992-1995,280,Chris Cairns,Match tied; New Zealand,,35,31,786,965,46,19,22.46,81.45,33,1452,242.0,13,1115,33,4.61,44.0,,,,,
1992-1995,708,Chris Harris,New Zealand,,44,37,633,991,35,6,14.39,63.87,41,1863,310.5,12,1433,39,4.62,47.77,,,,,
1992-1995,1009,Chris Lewis,England,,34,28,287,325,21,5,8.44,88.31,31,1630,271.67,17,1183,42,4.35,38.81,,,,,
1992-1995,1399,Chris Pringle,Match tied; New Zealand,,43,27,142,172,7,3,3.3,82.56,43,2189,364.83,23,1669,68,4.57,32.19,,,,,
1992-1995,1973,Clive Eksteen,South Africa,,5,1,0,2,0,0,0.0,0.0,5,210,35.0,2,163,2,4.66,105.0,,,,,
1992-1995,2924,Cornelius Van Zyl,South Africa,,2,2,3,11,0,0,1.5,27.27,2,108,18.0,2,93,0,5.17,,,,,,
1992-1995,2020,Courtney Browne,West Indies,,8,7,53,101,0,0,6.62,52.48,0,0,,0,0,0,,,,,,,
1992-1995,1843,Courtney Walsh,Match tied; West Indies,,48,17,86,110,6,3,1.79,78.18,48,2475,412.5,58,1511,52,3.66,47.6,,,,,
1992-1995,2065,Craig Evans,Zimbabwe,,4,4,43,87,2,1,10.75,49.43,0,0,,0,0,0,,,,,,,
1992-1995,1108,Craig Matthews,South Africa,,37,17,104,140,4,2,2.81,74.29,36,2021,336.83,45,1309,61,3.89,33.13,,,,,
1992-1995,1125,Craig McDermott,Australia; Match tied,,56,27,97,130,3,1,1.73,74.62,56,3066,511.0,54,1868,80,3.66,38.33,,,,,
1992-1995,2042,Craig Spearman,New Zealand,,4,4,94,120,13,0,23.5,78.33,0,0,,0,0,0,,,,,,,
1992-1995,1990,Craig White,England,England,1,1,0,2,0,0,0.0,0.0,1,30,5.0,0,22,0,4.4,,Right,Right hand Bat,Right,Fast Medium,"Right arm Fast Medium, Right arm Off Break"
1992-1995,65,Curtly Ambrose,Match tied; West Indies,,60,27,164,218,12,1,2.73,75.23,59,3140,523.33,66,1828,59,3.49,53.22,,,,,
1992-1995,2003,Damien Fleming,Australia,,14,5,14,42,0,0,1.0,33.33,14,764,127.33,12,517,20,4.06,38.2,,,,,
1992-1995,1098,Damien Martyn,Australia,,11,10,166,208,9,1,15.09,79.81,0,0,,0,0,0,,,,,,,
1992-1995,1219,Danny Morrison,New Zealand,,44,22,107,253,6,1,2.43,42.29,44,2093,348.83,27,1454,55,4.17,38.05,,,,,
1992-1995,1995,Darren Gough,England,England,10,7,78,85,5,1,7.8,91.76,9,547,91.17,8,350,17,3.84,32.18,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1992-1995,2006,Darrin Murray,New Zealand,,1,1,3,17,0,0,3.0,17.65,0,0,,0,0,0,,,,,,,
1992-1995,395,Daryll Cullinan,South Africa,,38,37,860,1333,49,5,22.63,64.52,0,0,,0,0,0,,,,,,,
1992-1995,205,David Boon,Australia,,72,71,2585,4082,203,4,35.9,63.33,3,54,9.0,0,45,0,5.0,,,,,,
1992-1995,226,David Brain,Match tied; Zimbabwe,,23,18,117,171,10,2,5.09,68.42,23,1091,181.83,14,849,21,4.67,51.95,,,,,
1992-1995,2649,David Callaghan,South Africa,,27,24,478,689,42,5,17.7,69.38,19,444,74.0,2,365,10,4.93,44.4,,,,,
1992-1995,801,David Houghton,Zimbabwe,,35,33,877,1314,60,7,25.06,66.74,1,12,2.0,0,19,1,9.5,12.0,,,,,
1992-1995,1473,David Richardson,South Africa,,68,48,627,969,23,0,9.22,64.71,0,0,,0,0,0,,,,,,,
1992-1995,2846,David Rundle,South Africa,,2,2,6,11,1,0,3.0,54.55,2,96,16.0,0,95,5,5.94,19.2,,,,,
1992-1995,1914,David Williams,West Indies,West Indies,16,9,80,129,9,0,5.0,62.02,0,0,,0,0,0,,,Right,Right hand Bat,,Leg Break,Leg Break
1992-1995,888,Dean Jones,Australia,,44,43,1378,2115,77,12,31.32,65.15,0,0,,0,0,0,,,,,,,
1992-1995,2658,Derek Crookes,South Africa,,3,3,30,38,3,0,10.0,78.95,3,60,10.0,0,48,0,4.8,,,,,,
1992-1995,1400,Derek Pringle,England,,15,8,55,60,5,0,3.67,91.67,15,778,129.67,25,468,19,3.61,40.95,,,,,
1992-1995,1454,Dermot Reeve,England,,24,17,241,331,16,0,10.04,72.81,23,903,150.5,12,643,18,4.27,50.17,,,,,
1992-1995,734,Desmond L Haynes,West Indies,,49,49,1587,2693,153,8,32.39,58.93,0,0,,0,0,0,,,Right,Right Handed,Right,Medium,Right arm Medium
1992-1995,1066,Devon Malcolm,England,,6,3,2,6,0,0,0.33,33.33,6,292,48.67,3,233,10,4.79,29.2,,,,,
1992-1995,1251,Dion Nash,New Zealand,,20,14,109,158,2,2,5.45,68.99,20,882,147.0,8,727,15,4.95,58.8,,,,,
1992-1995,1344,Dipak Patel,New Zealand,,30,20,179,238,11,2,5.97,75.21,29,1470,245.0,20,867,22,3.54,66.82,,,,,
1992-1995,2024,Dominic Cork,England,,8,3,25,44,0,0,3.12,56.82,8,504,84.0,7,344,11,4.1,45.82,,,,,
1992-1995,1022,Dulip Liyanage,Sri Lanka,,9,6,56,90,3,0,6.22,62.22,9,372,62.0,3,282,7,4.55,53.14,,,,,
1992-1995,1981,Dulip Samaraweera,Sri Lanka,,5,4,91,169,8,0,18.2,53.85,0,0,,0,0,0,,,,,,,
1992-1995,2678,Ebrahim Essop-Adam,Zimbabwe,,1,1,14,15,1,0,14.0,93.33,0,0,,0,0,0,,,,,,,
1992-1995,227,Eddo Brandes,Zimbabwe,,21,17,166,192,13,4,7.9,86.46,21,1063,177.17,11,885,28,5.0,37.96,,,,,
1992-1995,2677,Enamul Haque,Bangladesh,Bangladesh,3,3,16,63,0,0,5.33,25.4,3,120,20.0,0,83,0,4.15,,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,2883,Eric Simons,South Africa,,23,18,217,295,10,3,9.43,73.56,23,1212,202.0,21,810,33,4.01,36.73,,,,,
1992-1995,2896,Errol Stewart,South Africa,,5,5,57,110,5,0,11.4,51.82,0,0,,0,0,0,,,,,,,
1992-1995,433,Fanie De Villiers,South Africa,,59,25,108,140,6,2,1.83,77.14,58,3153,525.5,67,1841,60,3.5,52.55,,,,,
1992-1995,1903,Gamini Wickremasinghe,Sri Lanka,,4,1,2,10,0,0,0.5,20.0,0,0,,0,0,0,,,,,,,
1992-1995,389,Gary Crocker,Zimbabwe,,6,5,98,105,7,2,16.33,93.33,6,238,39.67,1,208,7,5.24,34.0,,,,,
1992-1995,945,Gary Kirsten,South Africa,South Africa,29,29,983,1608,78,1,33.9,61.13,1,6,1.0,0,8,0,8.0,,Left,Left hand Bat,Right,Off Break,Right arm Off Break
1992-1995,2767,Gary Martin,Zimbabwe,,5,4,31,65,0,0,6.2,47.69,4,132,22.0,2,95,2,4.32,66.0,,,,,
1992-1995,233,Gavin Briant,Zimbabwe,,5,5,39,69,2,0,7.8,56.52,0,0,,0,0,0,,,,,,,
1992-1995,1991,Gavin Larsen,Match tied; New Zealand,,61,39,425,641,18,9,6.97,66.3,61,3263,543.83,48,2051,50,3.77,65.26,,,,,
1992-1995,2132,Gavin Robertson,Australia,,4,3,7,15,0,0,1.75,46.67,4,144,24.0,0,127,0,5.29,,,,,,
1992-1995,1088,Geoff Marsh,Australia,,10,9,282,608,15,1,28.2,46.38,0,0,,0,0,0,,,,,,,
1992-1995,2141,Gerhardus Liebenberg,South Africa,,1,1,12,19,2,0,12.0,63.16,0,0,,0,0,0,,,,,,,
1992-1995,2697,Ghulam Ali,Pakistan,,3,3,53,121,2,0,17.67,43.8,0,0,,0,0,0,,,,,,,
1992-1995,1619,Gladstone Small,England,,7,1,5,18,0,0,0.71,27.78,7,289,48.17,3,201,7,4.17,41.29,,,,,
1992-1995,1982,Glen Bruk-Jackson,Zimbabwe,,1,1,12,33,2,0,12.0,36.36,0,0,,0,0,0,,,,,,,
1992-1995,1133,Glenn McGrath,Australia,,38,12,25,46,2,0,0.66,54.35,38,2053,342.17,42,1281,52,3.74,39.48,,,,,
1992-1995,758,Graeme Hick,England,,44,43,1442,1900,111,13,32.77,75.89,21,581,96.83,4,482,13,4.98,44.69,,,,,
1992-1995,967,Graeme Labrooy,Sri Lanka,,3,3,39,51,2,0,13.0,76.47,3,144,24.0,1,175,3,7.29,48.0,,,,,
1992-1995,627,Graham A Gooch,England,,29,28,649,1135,56,0,22.38,57.18,3,112,18.67,0,93,0,4.98,,Right,Right Handed,Right,Medium,Right arm Medium
1992-1995,1750,Graham Thorpe,England,,13,13,353,554,24,0,27.15,63.72,0,0,,0,0,0,,,,,,,
1992-1995,222,Grant Bradburn,New Zealand,,3,3,19,31,0,0,6.33,61.29,2,60,10.0,0,53,0,5.3,,,,,,
1992-1995,550,Grant Flower,Match tied; Zimbabwe,,26,24,624,1224,39,2,24.0,50.98,19,558,93.0,1,490,13,5.27,42.92,,,,,
1992-1995,2013,Greg Blewett,Australia,,8,8,111,167,10,1,13.88,66.47,8,263,43.83,0,249,4,5.68,65.75,,,,,
1992-1995,1109,Greg Matthews,Australia,,9,9,97,140,3,0,10.78,69.29,8,395,65.83,1,275,9,4.18,43.89,,,,,
1992-1995,1030,Gus Logie,West Indies,,28,23,280,411,23,2,10.0,68.13,0,0,,0,0,0,,,,,,,
1992-1995,1987,Guy Whittall,Match tied; Zimbabwe,,17,17,269,431,20,0,15.82,62.41,13,512,85.33,3,442,15,5.18,34.13,,,,,
1992-1995,2615,Hamish Anthony,West Indies,,3,3,23,22,0,2,7.67,104.55,3,156,26.0,0,143,3,5.5,52.0,,,,,
1992-1995,392,Hansie Cronje,South Africa,,70,67,2015,2956,128,21,28.79,68.17,61,2379,396.5,17,1651,50,4.16,47.58,,,,,
1992-1995,1752,Hashan Tillakaratne,Sri Lanka,,79,65,1501,2344,81,7,19.0,64.04,7,107,17.83,1,66,2,3.7,53.5,,,,,
1992-1995,2241,Hasibul Hussain,Bangladesh,,2,1,1,3,0,0,0.5,33.33,2,84,14.0,2,72,2,5.14,42.0,,,,,
1992-1995,1992,Heath Davis,New Zealand,,2,0,0,0,0,0,0.0,,2,36,6.0,0,51,0,8.5,,,,,,
1992-1995,1986,Heath Streak,Match tied; Zimbabwe,,18,14,134,183,7,1,7.44,73.22,18,919,153.17,19,661,25,4.32,36.76,,,,,
1992-1995,2938,Hemantha Wickramaratne,Sri Lanka,,3,2,4,6,0,0,1.33,66.67,0,0,,0,0,0,,,,,,,
1992-1995,2019,Henry Olonga,Zimbabwe,,2,1,6,5,1,0,3.0,120.0,2,84,14.0,1,91,1,6.5,84.0,,,,,
1992-1995,2018,Iain Butchart,Zimbabwe,,8,5,72,104,6,0,9.0,69.23,4,192,32.0,1,205,6,6.41,32.0,,,,,
1992-1995,185,Ian Bishop,Match tied; West Indies,,27,14,110,207,6,0,4.07,53.14,27,1521,253.5,14,1101,42,4.34,36.21,,,,,
1992-1995,1638,Ian D S Smith,New Zealand,,12,8,95,69,12,1,7.92,137.68,0,0,,0,0,0,,,Right,Right Handed,,,
1992-1995,740,Ian Healy,Australia,,74,57,888,1079,42,3,12.0,82.3,0,0,,0,0,0,,,,,,,
1992-1995,1526,Ian Salisbury,England,,4,2,7,12,0,0,1.75,58.33,4,186,31.0,1,177,5,5.71,37.2,,,,,
1992-1995,212,Ian Terence Botham (Sir),England,,17,16,375,549,40,6,22.06,68.31,17,936,156.0,11,583,23,3.74,40.7,Right,Right Handed,Right,Medium Fast,Right arm Medium Fast
1992-1995,15,Ijaz Ahmed,Pakistan,Pakistan,32,26,714,860,74,7,22.31,83.02,7,204,34.0,0,149,1,4.38,204.0,Right,Right hand Bat,Right,Off Break,Right arm Off Break
1992-1995,2726,Imtiaz Abbasi,United Arab Emirates,,2,2,8,16,1,0,4.0,50.0,0,0,,0,0,0,,,,,,,
1992-1995,1794,Inzamam-ul-Haq,Pakistan,Pakistan,94,91,3226,4322,272,33,34.32,74.64,2,16,2.67,0,18,1,6.75,16.0,Right,Right hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,2729,Irfan Bhatti,Pakistan,,1,0,0,0,0,0,0.0,,1,48,8.0,0,22,2,2.75,24.0,,,,,
1992-1995,2692,Janak Gamage,Sri Lanka,,4,2,8,9,0,0,2.0,88.89,4,132,22.0,2,104,3,4.73,44.0,,,,,
1992-1995,1665,Javagal Srinath,India; Match tied,India,72,30,152,173,10,2,2.11,87.86,70,3594,599.0,51,2547,104,4.25,34.56,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1992-1995,2734,Javed Qadeer,Pakistan,,1,1,12,23,1,0,12.0,52.17,0,0,,0,0,0,,,,,,,
1992-1995,2943,Jeffrey Wilson,New Zealand,,4,4,80,83,5,1,20.0,96.39,4,152,25.33,0,135,3,5.33,50.67,,,,,
1992-1995,9,Jimmy Adams,West Indies,,49,36,692,1030,50,1,14.12,67.18,3,78,13.0,2,59,2,4.54,39.0,,,,,
1992-1995,76,Jo Angel,Australia,Australia,3,1,0,3,0,0,0.0,0.0,3,162,27.0,3,113,4,4.19,40.5,Left,Left hand Bat,Right,Fast,Right arm Fast
1992-1995,2857,Johanne Samarasekera,United Arab Emirates,,2,2,34,83,0,0,17.0,40.96,2,90,15.0,0,79,1,5.27,90.0,,,,,
1992-1995,1996,John Crawley,England,,3,3,34,84,1,0,11.33,40.48,0,0,,0,0,0,,,,,,,
1992-1995,509,John E Emburey,England,,3,2,30,49,1,0,10.0,61.22,3,144,24.0,1,120,1,5.0,144.0,Right,Right Handed,Right,Off Break,Right arm Off Break
1992-1995,1944,John G Wright,New Zealand,,8,8,121,225,14,1,15.12,53.78,0,0,,0,0,0,,,Left,Left Handed,,,
1992-1995,1985,John Rennie,Match tied; Zimbabwe,,9,6,47,84,3,0,5.22,55.95,8,382,63.67,0,352,4,5.53,95.5,,,,,
1992-1995,1729,Jonathan Taylor,England,,1,1,1,8,0,0,1.0,12.5,1,18,3.0,0,20,0,6.67,,,,,,
1992-1995,1465,Jonty Rhodes,South Africa,,70,67,1659,2309,77,14,23.7,71.85,0,0,,0,0,0,,,,,,,
1992-1995,1997,Joseph Benjamin,England,,2,1,0,6,0,0,0.0,0.0,2,66,11.0,0,47,1,4.27,66.0,,,,,
1992-1995,1242,Junior Murray,West Indies,,38,19,213,314,10,4,5.61,67.83,0,0,,0,0,0,,,,,,,
1992-1995,975,Justin Langer,Australia,,7,6,131,136,10,4,18.71,96.32,0,0,,0,0,0,,,,,,,
1992-1995,1810,Justin Vaughan,New Zealand,,13,12,131,207,7,0,10.08,63.29,12,432,72.0,3,314,10,4.36,43.2,,,,,
1992-1995,2170,Kalutarage Upashantha,Sri Lanka,,2,1,3,2,0,0,1.5,150.0,2,78,13.0,1,60,2,4.62,39.0,,,,,
1992-1995,443,Kapil Dev,India; Match tied,India,49,39,516,647,42,6,10.53,79.75,47,2299,383.17,45,1416,37,3.7,62.14,Right,Right Handed,Right,Fast Medium,Right arm Fast Medium
1992-1995,1907,Kapila Wijegunawardene,Sri Lanka,,8,3,8,19,0,0,1.0,42.11,7,330,55.0,2,326,6,5.93,55.0,,,,,
1992-1995,95,Keith Arthurton,West Indies,,56,50,1250,1689,86,17,22.32,74.01,19,587,97.83,2,477,18,4.88,32.61,,,,,
1992-1995,2045,Kelaniyage Silva,Sri Lanka,,1,1,1,1,0,0,1.0,100.0,1,48,8.0,0,55,0,6.88,,,,,,
1992-1995,1520,Ken Rutherford,New Zealand,,60,56,1667,2540,131,10,27.78,65.63,1,10,1.67,0,11,0,6.6,,,,,,
1992-1995,168,Kenneth Benjamin,West Indies,,23,11,54,62,3,0,2.35,87.1,23,1153,192.17,11,800,31,4.16,37.19,,,,,
1992-1995,1885,Kepler Christoffel Wessels,South Africa,Australia,52,51,1416,2849,105,0,27.23,49.7,1,12,2.0,0,11,0,5.5,,Left,Left hand Bat,,,
1992-1995,94,Kevin Arnott,Zimbabwe,,9,9,126,276,6,1,14.0,45.65,0,0,,0,0,0,,,,,,,
1992-1995,2674,Kevin Duers,Zimbabwe,,6,2,7,20,0,0,1.17,35.0,6,300,50.0,2,256,3,5.12,100.0,,,,,
1992-1995,1855,Khahakachchi Warnaweera,Sri Lanka,,1,0,0,0,0,0,0.0,,1,42,7.0,0,39,0,5.57,,,,,,
1992-1995,2239,Khaled Mashud,Bangladesh,Bangladesh,3,3,46,77,4,0,15.33,59.74,0,0,,0,0,0,,,Right,Right hand Bat,,,
1992-1995,1209,Kiran More,India,,18,16,128,166,11,2,7.11,77.11,0,0,,0,0,0,,,,,,,
1992-1995,1664,Kris Srikkanth,India,,13,13,275,448,30,1,21.15,61.38,3,31,5.17,0,36,0,6.97,,,,,,
1992-1995,1971,Kumar Dharmasena,Sri Lanka,,20,12,148,243,6,0,7.4,60.91,18,906,151.0,6,680,25,4.5,36.24,,,,,
1992-1995,2037,Lee Germon,New Zealand,,10,7,90,151,7,0,9.0,59.6,0,0,,0,0,0,,,,,,,
1992-1995,2761,Mahmood Hamid,Pakistan,,1,1,1,6,0,0,1.0,16.67,0,0,,0,0,0,,,,,,,
1992-1995,1090,Malcolm D Marshall,West Indies,,9,7,24,56,1,0,2.67,42.86,8,432,72.0,5,276,4,3.83,108.0,Right,Right Handed,Right,Fast,Right arm Fast
1992-1995,866,Malcolm Jarvis,Match tied; Zimbabwe,,7,3,28,31,2,1,4.0,90.32,7,387,64.5,5,296,7,4.59,55.29,,,,,
1992-1995,1608,Maninder Singh,India,India,2,0,0,0,0,0,0.0,,2,108,18.0,0,108,1,6.0,108.0,Right,Right hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,1392,Manoj Prabhakar,India; Match tied,India,64,57,1361,2178,120,0,21.27,62.49,62,3174,529.0,27,2371,81,4.48,39.19,Right,Right hand Bat,Right,Medium,Right arm Medium
1992-1995,503,Manzoor Elahi,Match tied; Pakistan,Pakistan,5,4,42,65,1,1,8.4,64.62,5,288,48.0,1,180,4,3.75,72.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1992-1995,261,Mark Burmester,Match tied; Zimbabwe,,8,7,109,212,7,0,13.62,51.42,7,209,34.83,0,213,5,6.11,41.8,,,,,
1992-1995,1983,Mark Dekker,Zimbabwe,,19,18,339,699,9,3,17.84,48.5,10,305,50.83,0,241,9,4.74,33.89,,,,,
1992-1995,2671,Mark Douglas,New Zealand,,6,6,55,123,2,1,9.17,44.72,0,0,,0,0,0,,,,,,,
1992-1995,645,Mark Greatbatch,New Zealand,,41,41,1121,1595,93,28,27.34,70.28,1,6,1.0,0,5,0,5.0,,,,,,
1992-1995,722,Mark Haslam,New Zealand,,1,1,9,18,0,0,9.0,50.0,1,30,5.0,0,28,1,5.6,30.0,,,,,
1992-1995,1397,Mark Priest,New Zealand,,6,4,35,56,1,0,5.83,62.5,6,261,43.5,1,209,3,4.8,87.0,,,,,
1992-1995,1429,Mark Ramprakash,England,,5,5,118,131,6,2,23.6,90.08,0,0,,0,0,0,,,,,,,
1992-1995,1515,Mark Rushmere,South Africa,,4,4,78,174,4,0,19.5,44.83,0,0,,0,0,0,,,,,,,
1992-1995,1732,Mark Taylor,Australia,,62,60,1975,3335,142,4,31.85,59.22,1,18,3.0,0,20,0,6.67,,,,,,
1992-1995,1872,Mark Waugh,Australia; Match tied,,76,73,2533,3285,166,15,33.33,77.11,46,1350,225.0,4,1118,34,4.97,39.71,,,,,
1992-1995,394,Martin Crowe,New Zealand,,33,32,1276,1674,107,15,38.67,76.22,1,6,1.0,0,6,0,6.0,,,,,,
1992-1995,100,Marvan Atapattu,Sri Lanka,,5,5,35,77,2,0,7.0,45.45,0,0,,0,0,0,,,,,,,
1992-1995,1975,Matthew Hart,Match tied; New Zealand,,10,6,49,79,3,1,4.9,62.03,10,488,81.33,4,314,11,3.86,44.36,,,,,
1992-1995,1976,Matthew Hayden,Australia,,13,12,286,533,30,0,22.0,53.66,0,0,,0,0,0,,,,,,,
1992-1995,1114,Matthew Maynard,England,,5,5,59,69,5,0,11.8,85.51,0,0,,0,0,0,,,,,,,
1992-1995,2771,Mazhar Hussain,United Arab Emirates,,2,2,80,145,6,0,40.0,55.17,0,0,,0,0,0,,,,,,,
1992-1995,811,Merv Hughes,Australia,,9,6,44,45,2,3,4.89,97.78,9,480,80.0,10,326,8,4.08,60.0,,,,,
1992-1995,1401,Meyrick Pringle,South Africa,,17,8,48,56,2,0,2.82,85.71,16,828,138.0,12,572,22,4.14,37.64,,,,,
1992-1995,101,Michael Atherton,England,,15,15,733,1209,67,1,48.87,60.63,0,0,,0,0,0,,,,,,,
1992-1995,2002,Michael Bevan,Australia,,18,16,526,682,28,0,29.22,77.13,4,102,17.0,0,75,3,4.41,34.0,,,,,
1992-1995,2076,Michael Kasprowicz,Australia,,2,0,0,0,0,0,0.0,,2,96,16.0,0,83,2,5.19,48.0,,,,,
1992-1995,1304,Michael Owens,New Zealand,,1,1,0,3,0,0,0.0,0.0,1,48,8.0,0,37,0,4.62,,,,,,
1992-1995,2844,Michael Rindel,South Africa,,8,8,215,339,11,0,26.88,63.42,4,114,19.0,0,89,3,4.68,38.0,,,,,
1992-1995,1615,Michael Slater,Australia,,30,30,758,1267,75,2,25.27,59.83,2,12,2.0,1,11,0,5.5,,,,,,
1992-1995,1899,Michael Whitney,Australia; Match tied,,21,7,26,56,2,0,1.24,46.43,21,1152,192.0,28,618,22,3.22,52.36,,,,,
1992-1995,593,Michael William Gatting,England,,7,6,46,87,4,0,6.57,52.87,1,6,1.0,0,2,0,2.0,,Right,Right Handed,Right,Medium,Right arm Medium
1992-1995,2783,Minhajul Abedin,Bangladesh,,3,3,47,78,2,0,15.67,60.26,3,66,11.0,0,65,1,5.91,66.0,,,,,
1992-1995,2033,Mohammad Akram Awan,Pakistan,Pakistan,5,3,8,15,1,0,1.6,53.33,5,240,40.0,1,189,6,4.72,40.0,Right,Right hand Bat,Right,Fast Medium,Right arm Fast Medium
1992-1995,2237,Mohammad Akram Hussain Khan,Bangladesh,Bangladesh,3,3,92,186,3,0,30.67,49.46,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
1992-1995,1445,Mohammad Akram Raza,Match tied; Pakistan,Pakistan,33,16,138,219,5,1,4.18,63.01,33,1839,306.5,14,1082,26,3.53,70.73,Right,Right hand Bat,Right,Off Break,Right arm Off Break
1992-1995,2236,Mohammad Aminul Islam,Bangladesh,Bangladesh,3,3,72,135,6,1,24.0,53.33,2,17,2.83,0,26,0,9.18,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
1992-1995,1231,Mohammad Asif Mujtaba,Match tied; Pakistan,Pakistan,58,48,988,1565,59,2,17.03,63.13,23,630,105.0,1,541,7,5.15,90.0,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,109,Mohammad Azharuddin,India,India,76,71,2396,3020,171,24,31.53,79.34,0,0,,0,0,0,,,Right,Right hand Bat,Right,Medium,Right arm Medium
1992-1995,928,Mohammad Imran Khan,Pakistan,Pakistan,13,7,229,379,18,4,17.62,60.42,12,590,98.33,5,415,12,4.22,49.17,Right,Right hand Bat,Right,Medium Fast,Right arm Medium Fast
1992-1995,2728,Mohammad Iqbal Sikander,Pakistan,Pakistan,4,1,1,3,0,0,0.25,33.33,3,162,27.0,1,121,3,4.48,54.0,Right,Right hand Bat,,Leg Break Googly,Leg Break Googly
1992-1995,2786,Mohammad Ishaq Shirzad,United Arab Emirates,Afghanistan,2,2,27,46,2,0,13.5,58.7,0,0,,0,0,0,,,Right,Right-hand bat,,,
1992-1995,1169,Mohammad Javed Miandad Khan,Pakistan,Pakistan,48,44,1532,2409,97,10,31.92,63.59,0,0,,0,0,0,,,Right,Right hand Bat,,Leg Break Googly,Leg Break Googly
1992-1995,2733,Mohammad Javed Omar Belim,Bangladesh,Bangladesh,2,2,27,69,2,0,13.5,39.13,0,0,,0,0,0,,,Right,Right hand Bat,,Leg Break,Leg Break
1992-1995,2001,Mohammad Kabir Khan,Pakistan,Pakistan,2,0,0,0,0,0,0.0,,2,116,19.33,2,66,3,3.41,38.67,Right,Right hand Bat,Left,Fast Medium,Left arm Fast Medium
1992-1995,931,Mohammad Moin Khan,Pakistan,Pakistan,31,17,181,240,9,4,5.84,75.42,0,0,,0,0,0,,,Right,Right hand Bat,Right,Off Break,Right arm Off Break
1992-1995,932,Mohammad Nadeem Khan,Pakistan,Pakistan,2,1,2,3,0,0,1.0,66.67,2,96,16.0,0,81,0,5.06,,Right,Right hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,2240,Mohammad Rafique,Bangladesh,Bangladesh,2,2,15,34,1,0,7.5,44.12,2,82,13.67,0,65,3,4.76,27.33,Left,Left hand Bat,Left,Orthodox,Slow Left arm Orthodox
1992-1995,2850,Mohammad Saif-Ul Islam,Bangladesh,Norway,3,3,30,50,3,0,10.0,60.0,3,132,22.0,2,100,5,4.55,26.4,Right,Right hand Bat,Right,Medium,Right arm Medium
1992-1995,1693,Murphy Su'A,New Zealand,,12,7,24,56,1,0,2.0,42.86,12,463,77.17,6,367,9,4.76,51.44,,,,,
1992-1995,18,Mushtaq Ahmed,Match tied; Pakistan,Pakistan,60,31,165,334,11,0,2.75,49.4,58,3090,515.0,26,2151,61,4.18,50.66,Right,Right hand Bat,,Leg Break Googly,Leg Break Googly
1992-1995,1234,Muttiah Muralitharan,Sri Lanka,,33,12,29,60,1,1,0.88,48.33,33,1778,296.33,14,1239,35,4.18,50.8,,,,,
1992-1995,2796,Naeem Ashraf,Pakistan,England,2,2,24,43,2,0,12.0,55.81,2,42,7.0,0,52,0,7.43,,Left,Left hand Bat,Left,Fast Medium,Left arm Fast Medium
1992-1995,2232,Naimuir Rahman,Bangladesh,,1,1,3,7,0,0,3.0,42.86,1,40,6.67,0,29,1,4.35,40.0,,,,,
1992-1995,770,Narendra Hirwani,India,,2,1,4,7,0,0,2.0,57.14,2,90,15.0,0,68,2,4.53,45.0,,,,,
1992-1995,823,Nasser Hussain,England,England,2,2,26,42,0,0,13.0,61.9,0,0,,0,0,0,,,Right,Right hand Bat,,Leg Break,Leg Break
1992-1995,2046,Nathan Astle,New Zealand,,14,14,414,602,37,2,29.57,68.77,12,382,63.67,1,317,7,4.98,54.57,,,,,
