player_id,full_name,country,batting_style_raw,batting_hand,bowling_style_raw,bowling_hand,bowling_style
4343,Lega Siaka,Papua New Guinea,Right hand Bat,Right,"Right arm Fast Medium, Leg Break",Right,Fast Medium
3447,Lendl Simmons,,,,,,
2967,Leon Garrick,,,,,,
3609,Leon Johnson,,,,,,
3213,Leon Romero,,,,,,
1338,Leonard S Pascoe,,Right Handed,Right,Right arm Fast,Right,Fast
3599,Lesley Willem Stokkers,Netherlands,Right hand Bat,Right,Right arm Off Break,Right,Off Break
1731,Leslie Taylor,,,,,,
2897,Leslie W Stott,,Right Handed,Right,Right arm Medium,Right,Medium
5656,Lewis Gregory,England,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
4566,Liam Dawson,,,,,,
4692,Liam Livingstone,,,,,,
7130,Liam Naylor,,,,,,
3331,Liam Plunkett,,,,,,
4803,Liam Roche,,,,,,
3627,Lionel Baker,,,,,,
3366,Lionel Cann,,,,,,
4430,Litton Das,,,,,,
5984,Lizaad Williams,,,,,,
2723,Llorne Howell,,,,,,
5396,Lo-handre Louwrens,Namibia,Right hand Bat,Right,,,
4609,Lockie Ferguson,,,,,,
4295,Logan van Beek,,,,,,
3289,Loku Dilhara,,,,,,
3641,Lonwabo Tsotsobe,,,,,,
3436,Loots Bosman,,,,,,
4586,Lorcan Tucker,,,,,,
2927,Lou Vincent,New Zealand,Right hand Bat,Right,Right arm Medium,Right,Medium
3075,Louis Burger,,,,,,
2748,Louis Koen,,,,,,
1162,Louis Rohan Duleep Mendis,,Right Handed,Right,,,
7304,Lovepreet Singh,United Arab Emirates,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
3894,Lucas Oluoch,,,,,,
3044,Lucas van Troost,,,,,,
4319,Luke Jongwe,,,,,,
3573,Luke Ronchi,New Zealand,Right hand Bat,Right,,,
6921,Luke Wood,England,Left hand Bat,Left,Left arm Fast Medium,Left,Fast Medium
3841,Luke Woodcock,,,,,,
3499,Luke Wright,,,,,,
4636,Lungisani True-man Ngidi,,Right Handed,Right,Right arm Fast,Right,Fast
4849,Lutho Sipamla,,,,,,
4580,M Amila Aponso,,,,,,
2143,M Bandarathilake,,,,,,
4790,M Saqib Zulfiqar,Netherlands,Right hand Bat,Right,Leg Break,,Leg Break
3771,MD Sohrawordi Shuvo,Bangladesh,Left hand Bat,Left,Slow Left arm Orthodox,Left,Orthodox
4620,MD. Tanbir Hayder Khan,Bangladesh,Right hand Bat,Right,Leg Break,,Leg Break
2758,Mafizur Rahman,,,,,,
3623,Mahbubul Alam,Bangladesh,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
4737,Mahedi Hasan,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
6178,Maheesh Theekshana,,,,,,
2104,Mahela Jayawardene,,,,,,
3544,Mahela Udawatte,,,,,,
2229,Mahendra Nagamootoo,,,,,,
3243,Mahendra Singh Dhoni,India,Right hand Bat,Right,Right arm Medium,Right,Medium
2761,Mahmood Hamid,,,,,,
4345,Mahuru D Dai,,Right Handed,Right,Right arm Medium,Right,Medium
929,Majid Jahangir Khan,Pakistan,Right hand Bat,Right,"Right arm Medium, Right arm Off Break",Right,Medium
2137,Makhaya Ntini,South Africa,Right hand Bat,Right,Right arm Fast,Right,Fast
3440,Malachi Jones,,,,,,
3456,Malachy Loye,,,,,,
1090,Malcolm D Marshall,,Right Handed,Right,Right arm Fast,Right,Fast
866,Malcolm Jarvis,,,,,,
3640,Malcolm Waller,,,,,,
3229,Malhar Patel,,,,,,
3869,Malik Ahsan Ahmad Jamil,Netherlands,Right hand Bat,Right,Right arm Medium Fast,Right,Medium Fast
4699,Malinda Pushpakumara,,,,,,
3467,Malinda Warnapura,,,,,,
2945,Mandy Yachad,,,,,,
3493,Mangesh Panchel,,,,,,
1608,Maninder Singh,India,Right hand Bat,Right,Slow Left arm Orthodox,Left,Orthodox
4083,Manish Pandey,,,,,,
4259,Manjula Guruge,,,,,,
2187,Mannava Prasad,,,,,,
3182,Manoj Cheruparambil,Hong Kong,Right hand Bat,Right,Right arm Medium,Right,Medium
3602,Manoj David,,,,,,
1392,Manoj Prabhakar,India,Right hand Bat,Right,Right arm Medium,Right,Medium
3530,Manoj Tiwary,,,,,,
3569,Manpreet Gony,,,,,,
28,Mansoor Akhtar,Pakistan,Right hand Bat,Right,Right arm Medium,Right,Medium
3580,Mansoor Amjad,Pakistan,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
2763,Mansoor Rana,,,,,,
2764,Manzoor Akhtar,,,,,,
503,Manzoor Elahi,Pakistan,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2765,Maqsood Rana,,,,,,
2862,Marcelis Schewe,,,,,,
3927,Marchant de Lange,South Africa,Right hand Bat,Right,Right arm Fast,Right,Fast
5974,Marco Jansen,South Africa,Right hand Bat,Right,Left arm Fast,Left,Fast
3648,Marcus North,,,,,,
4389,Marcus Stoinis,,,,,,
2228,Marcus Trescothick,,,,,,
1815,Margasaghayam Venkataramana,,,,,,
2926,Mark A Vermeulen,,Right Handed,Right,Right arm Off Break,Right,Off Break
5089,Mark Adair,,,,,,
2609,Mark Alleyne,,,,,,
2627,Mark Bailey,,,,,,
171,Mark Benson,,,,,,
2116,Mark Boucher,,,,,,
261,Mark Burmester,,,,,,
4278,Mark Chapman,,,,,,
3357,Mark Cosgrove,,,,,,
1983,Mark Dekker,,,,,,
2671,Mark Douglas,,,,,,
2061,Mark Ealham,,,,,,
256,Mark G Burgess,,Right Handed,Right,Right arm Medium,Right,Medium
3452,Mark Gillespie,,,,,,
645,Mark Greatbatch,,,,,,
722,Mark Haslam,,,,,,
3212,Mark Johnson,,,,,,
3444,Mark Jonkman,,,,,,
3708,Mark Petrie,,,,,,
1397,Mark Priest,,,,,,
1429,Mark Ramprakash,,,,,,
2231,Mark Richardson,,,,,,
1515,Mark Rushmere,,,,,,
1732,Mark Taylor,,,,,,
4436,Mark Watt,,,,,,
1872,Mark Waugh,,,,,,
4421,Mark Wood,,,,,,
2250,Marlon Black,,,,,,
2255,Marlon Samuels,,,,,,
4816,Marnus Labuschagne,Australia,Right hand Bat,Right,Leg Break,,Leg Break
3471,Marthinus J Fourie,,Right Handed,Right,Right arm Medium Fast,Right,Medium Fast
177,Martin Bicknell,,,,,,
1647,Martin C Snedden,,Left Handed,Left,Right arm Medium Fast,Right,Medium Fast
394,Martin Crowe,,,,,,
3633,Martin Guptill,,,,,,
921,Martin Kent,,,,,,
2895,Martin P Stead,,Right Handed,Right,Right arm Medium,Right,Medium
2902,Martin Suji,,,,,,
3050,Martin van Jaarsveld,South Africa,Right hand Bat,Right,"Right arm Medium, Right arm Off Break",Right,Medium
1228,Martyn Moxon,,,,,,
100,Marvan Atapattu,,,,,,
2995,Mashrafe Bin Mortaza,Bangladesh,Right hand Bat,Right,Right arm Fast Medium,Right,Fast Medium
2769,Masood Iqbal,,,,,,
6613,Matheesha Pathirana,Sri Lanka,Right hand Bat,Right,Right arm Medium,Right,Medium
7197,Matiullah Khan,United Arab Emirates,Right hand Bat,Right,Right arm Medium,Right,Medium
4257,Matt Henry,,,,,,
5661,Matt Parkinson,,,,,,
7203,Matt Short,,,,,,
2163,Matthew Bell,,,,,,
4221,Matthew Cross,,,,,,
2685,Matthew Fleming,,,,,,
7634,Matthew Forde,,,,,,
1975,Matthew Hart,,,,,,
1976,Matthew Hayden,,,,,,
2224,Matthew Hoggard,,,,,,
2091,Matthew Horne,,,,,,
7189,Matthew Humphreys,,,,,,
4006,Matthew Machan,,,,,,
1114,Matthew Maynard,,,,,,
3796,Matthew Parker,,,,,,
6656,Matthew Paul Kuhnemann,,Left Handed,Left,Slow Left arm Orthodox,Left,Orthodox
6622,Matthew Potts,,,,,,
3239,Matthew Prior,,,,,,
2206,Matthew Sinclair,,,,,,
6483,Matthew Spoors,Canada,Right hand Bat,Right,Leg Break Googly,,Leg Break Googly
2075,Matthew T G Elliott,,Left Handed,Left,Slow Left arm Orthodox,Left,Orthodox
3910,Matthew Wade,,,,,,
3151,Matthew Walker,,,,,,
2808,Maurice Odumbe,,,,,,
3222,Maurice Ouma,,,,,,
3495,Maurits Jonkman,,,,,,
3445,Maurits van Nierop,,,,,,
3941,Max Sorensen,,,,,,
1839,Maxwell Henry Norman Walker,,Right Handed,Right,Right arm Fast Medium,Right,Fast Medium
4443,Maxwell O'Dowd,,,,,,
4104,Mayank Agarwal,,,,,,
2771,Mazhar Hussain,,,,,,
3046,Mazharul Haque,,,,,,
3588,Mclaren Smith,,,,,,
7162,Md Towhid Hridoy,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
4598,Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right,Right arm Off Break,Right,Off Break
2234,Mehrab Hossain,Bangladesh,Right hand Bat,Right,Right arm Medium,Right,Medium
3439,Mehrab Hossain,Bangladesh,Right hand Bat,Right,Right arm Medium,Right,Medium
3093,Melt van Schoor,Namibia,Right hand Bat,Right,,,
811,Merv Hughes,,,,,,
2097,Merwyn Dillon,,,,,,
1401,Meyrick Pringle,,,,,,
781,Michael A Holding,,Right Handed,Right,Right arm Fast,Right,Fast
2610,Michael Allingham,,,,,,
101,Michael Atherton,,,,,,
3934,Michael Bates,,,,,,
2002,Michael Bevan,,,,,,
3774,Michael Carberry,,,,,,
4227,Michael Chinouya,,,,,,
3067,Michael Clarke,,,,,,
2669,Michael Di Venuto,,,,,,
6547,Michael Gordeon Bracewell,,Left Handed,Left,Right arm Off Break,Right,Off Break
752,Michael Hendrick,,Right Handed,Right,Right arm Fast Medium,Right,Fast Medium
3160,Michael Hussey,,,,,,
4723,Michael Jones,,,,,,
2076,Michael Kasprowicz,,,,,,
4222,Michael Leask,,,,,,
3333,Michael Lewis,,,,,,
3781,Michael Lumb,,,,,,
1073,Michael Malone,,,,,,
3150,Michael Mason,,,,,,
4201,Michael Neser,,,,,,
1304,Michael Owens,,,,,,
3161,Michael Papps,,,,,,
2844,Michael Rindel,,,,,,
4020,Michael Rippon,,,,,,
1615,Michael Slater,,,,,,
2886,Michael Smith,,,,,,
3867,Michael Swart,,,,,,
2983,Michael Vandort,,,,,,
2200,Michael Vaughan,,,,,,
1812,Michael Veletta,,,,,,
2028,Michael Watkinson,England,Right hand Bat,Right,"Right arm Medium, Right arm Off Break",Right,Medium
